1640023733779:  INFO - (VcmpPluginInit) VC:MP Java integration plugin loading...
1640023733783:  INFO - (JavaCore::LoadLibraryFunctions) Java VM library loaded.
1640023733783:  INFO - (JavaCore::LoadLibraryFunctions) Java VM library functions loaded.
1640023733783:  INFO - (JavaCore::SetupJVMArguments) Java VM settings initialized.
1640023733823:  INFO - (JavaCore::CreateJVM) Java VM created.
1640023733823:  INFO - (JavaCore::AttachThreadToJVM) Server thread attached to VM.
1640023733834:  INFO - (JavaCore::SeedClasses) Starting script context.
1640023733878:  INFO - (JavaEntityPool::BindToClass) Loaded entity pool of com/maxorator/vcmp/java/plugin/integration/player/PlayerImpl.
1640023733878:  INFO - (JavaEntityPool::BindToClass) Loaded entity pool of com/maxorator/vcmp/java/plugin/integration/vehicle/VehicleImpl.
1640023733879:  INFO - (JavaEntityPool::BindToClass) Loaded entity pool of com/maxorator/vcmp/java/plugin/integration/placeable/CheckPointImpl.
1640023733879:  INFO - (JavaEntityPool::BindToClass) Loaded entity pool of com/maxorator/vcmp/java/plugin/integration/placeable/GameObjectImpl.
1640023733879:  INFO - (JavaEntityPool::BindToClass) Loaded entity pool of com/maxorator/vcmp/java/plugin/integration/placeable/PickupImpl.
1640023734080:  INFO - (JavaEventHandler::OnServerInitialise) Server initialised, scripts loaded.
